t,CASE,CC,missing,NO KNOWN EPI,OB,TRAVEL,UNSPECIFIED epi,,,CCOB,,newcase,voluntary,EI(episode date),travel(episode date),symptom,Date
1,53,9,1,9,0,34,0,,,9,,19,9,269,96,173,16/03/2020
2,59,6,0,10,2,41,0,,,8,,18,10,272,86,186,17/03/2020
3,59,14,2,11,2,30,0,,,16,,29,11,273,85,188,18/03/2020
4,69,10,4,17,9,29,0,,,19,,40,17,263,82,181,19/03/2020
5,99,18,1,24,15,41,0,,,33,,58,24,354,87,267,20/03/2020
6,72,12,0,20,16,24,0,,,28,,48,20,278,72,206,21/03/2020
7,87,22,2,20,17,26,0,,,39,,61,20,275,66,209,22/03/2020
8,145,32,5,38,21,49,0,,,53,,96,38,340,62,278,23/03/2020
9,174,31,4,52,26,61,0,,,57,,113,52,278,47,231,24/03/2020
10,138,35,1,40,18,44,0,,,53,,94,40,305,34,271,25/03/2020
11,250,54,9,96,19,72,0,,,73,,178,96,293,30,263,26/03/2020
12,297,60,10,101,32,94,0,,,92,,203,101,331,27,304,27/03/2020
13,236,58,6,56,39,77,0,,,97,,159,56,318,41,277,28/03/2020
14,227,69,3,64,42,49,0,,,111,,178,64,292,24,268,29/03/2020
15,438,131,12,127,60,108,0,,,191,,330,127,389,23,366,30/03/2020
16,411,111,15,115,74,96,0,,,185,,315,115,331,26,305,31/03/2020
17,454,131,14,108,119,81,1,,,250,,373,108,481,21,460,01/04/2020
18,450,134,12,116,118,70,0,,,252,,380,116,369,6,363,02/04/2020
19,465,106,7,96,197,59,0,,,303,,406,96,445,18,427,03/04/2020
20,349,88,8,86,136,31,0,,,224,,318,86,407,7,400,04/04/2020
21,371,115,5,94,129,28,0,,,244,,343,94,366,8,358,05/04/2020
22,479,111,9,103,223,33,0,,,334,,446,103,451,11,440,06/04/2020
23,458,104,8,85,236,25,0,,,340,,433,85,430,9,421,07/04/2020
24,493,130,4,81,254,24,0,,,384,,469,81,431,4,427,08/04/2020
25,489,129,7,89,233,31,0,,,362,,458,89,461,5,456,09/04/2020
26,399,90,5,76,209,19,0,,,299,,380,76,548,2,546,10/04/2020
27,476,119,7,86,250,14,0,,,369,,462,86,540,4,536,11/04/2020
28,550,92,4,57,377,20,0,,,469,,530,57,470,0,470,12/04/2020
29,599,119,3,73,391,13,0,,,510,,586,73,615,4,611,13/04/2020
30,558,80,7,66,399,6,0,,,479,,552,66,600,6,594,14/04/2020
31,619,91,9,57,454,8,0,,,545,,611,57,660,2,658,15/04/2020
32,579,103,12,63,395,6,0,,,498,,573,63,623,1,622,16/04/2020
33,752,121,14,70,536,11,0,,,657,,741,70,662,2,660,17/04/2020
34,600,122,13,63,396,6,0,,,518,,594,63,547,4,543,18/04/2020
35,594,127,15,57,385,10,0,,,512,,584,57,354,2,352,19/04/2020
36,614,115,18,87,390,4,0,,,505,,610,87,538,4,534,20/04/2020
37,522,107,7,50,352,6,0,,,459,,516,50,429,0,429,21/04/2020
38,548,103,7,79,351,8,0,,,454,,540,79,454,3,451,22/04/2020
39,511,115,6,68,317,5,0,,,432,,506,68,448,5,443,23/04/2020
40,432,113,14,81,218,6,0,,,331,,426,81,421,3,418,24/04/2020
41,427,100,10,59,254,4,0,,,354,,423,59,443,2,441,25/04/2020
42,367,79,9,57,221,1,0,,,300,,366,57,366,2,364,26/04/2020
43,480,122,15,67,275,1,0,,,397,,479,67,473,3,470,27/04/2020
44,417,125,7,72,209,4,0,,,334,,413,72,410,3,407,28/04/2020
45,406,97,12,84,212,1,0,,,309,,405,84,396,1,395,29/04/2020
46,409,79,6,68,253,3,0,,,332,,406,68,411,3,408,30/04/2020
47,488,127,14,90,249,8,0,,,376,,480,90,438,1,437,01/05/2020
