t,newcase,Traced,contact,voluntary,QT,conQT,symptom
1,7,10,1,6,0,1,7
2,11,6,2,9,0,2,10
3,6,9,0,4,2,2,8
4,7,7,1,5,1,2,11
5,9,9,1,8,0,1,23
6,9,10,3,5,1,4,14
7,10,9,1,9,0,1,17
8,12,8,1,8,3,4,15
9,6,8,1,5,0,1,22
10,15,9,0,12,3,3,17
11,11,17,2,6,3,5,25
12,10,9,0,9,1,1,25
13,15,13,0,15,0,0,30
14,16,19,2,12,2,4,33
15,13,15,0,12,1,1,28
16,17,15,0,16,1,1,35
17,23,20,2,21,0,2,38
18,18,21,2,13,3,5,46
19,31,19,3,27,1,4,44
20,39,41,6,29,4,10,41
21,28,32,5,19,4,9,52
22,26,23,1,22,3,4,60
23,33,31,4,25,4,8,60
24,33,27,3,28,2,5,66
25,43,44,7,33,3,10,60
26,46,38,5,38,3,8,86
27,48,59,9,36,3,12,77
28,50,45,4,38,8,12,94
29,56,48,8,46,2,10,120
30,62,63,2,53,7,9,107
31,70,61,6,61,3,9,126
32,54,65,7,44,3,10,114
33,62,58,7,51,4,11,137
34,76,65,9,62,5,14,142
35,83,87,12,61,10,22,148
36,86,89,8,74,4,12,165
37,96,89,10,82,4,14,189
38,108,93,8,91,9,17,249
39,128,114,12,108,8,20,252
40,135,145,18,101,16,34,263
41,141,134,10,112,19,29,247
42,149,147,12,126,11,23,242
43,155,157,11,132,12,23,225
44,164,152,21,132,11,32,218
45,155,166,9,131,15,24,203
46,134,146,13,109,12,25,205
47,135,126,14,113,8,22,190
48,120,128,6,104,10,16,174
49,131,131,8,120,3,11,198
50,138,133,19,108,11,30,185
51,119,121,6,105,8,14,182
52,137,129,9,120,8,17,201
53,121,130,3,111,7,10,186
54,129,128,11,109,9,20,179
55,122,124,8,109,5,13,186
56,118,116,7,104,7,14,205
57,136,130,8,119,9,17,184
58,132,143,8,108,16,24,152
59,114,114,13,91,10,23,157
60,139,137,18,111,10,28,185
61,117,122,11,100,6,17,145
62,108,108,6,96,6,12,193
63,135,123,18,109,8,26,204
64,148,149,15,122,11,26,203
65,140,134,12,112,16,28,219
66,124,131,11,105,8,19,211
67,133,137,9,111,13,22,224
68,158,143,16,131,11,27,264
69,161,167,15,132,14,29,254
70,159,154,7,140,12,19,228
71,183,168,14,159,10,24,261
72,162,165,19,133,10,29,242
73,173,187,19,145,9,28,275
74,170,157,21,136,13,34,276
75,173,187,12,146,15,27,274
76,221,190,14,188,19,33,300
77,174,176,16,146,12,28,303
78,178,183,16,154,8,24,293
79,155,171,9,136,10,19,312
80,190,170,13,165,12,25,300
